sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,10,19,2,2,D024,Munger
1,21,19,2,1,D024,Balangir
1,21,19,2,2,D024,Balangir
2,10,19,9,1,D024,Munger
2,21,19,9,1,D024,Balangir
2,36,19,9,1,D024,Vikarabad
1,8,20,2,1,D024,Bhilwara
1,8,20,2,2,D024,Bhilwara
1,24,20,2,1,D024,Valsad
1,24,20,2,2,D024,Valsad
1,28,20,2,1,D024,Kakinada
1,28,20,2,2,D024,Kakinada
2,24,20,9,1,D024,Valsad
2,28,20,9,1,D024,Kakinada
2,8,21,9,1,D024,Bhilwara
1,18,22,2,1,D024,Nalbari
1,23,22,2,1,D024,Barwani
1,23,22,2,2,D024,Barwani
2,18,22,9,1,D024,Nalbari
2,23,22,9,1,D024,Barwani
1,9,24,2,1,D024,Hardoi
1,9,24,2,2,D024,Hardoi
1,9,24,2,3,D024,Hardoi
2,9,24,9,1,D024,Hardoi
1,27,16,2,1,D025,Pune
1,27,16,2,2,D025,Pune
1,27,16,2,3,D025,Pune
2,27,16,9,1,D025,Pune
2,27,16,9,2,D025,Pune
1,22,19,2,1,D025,Mungeli
1,33,19,2,1,D025,Ramanathapuram
1,36,19,2,1,D025,Mahabubnagar
2,22,19,9,1,D025,Mungeli
2,33,19,9,1,D025,Ramanathapuram
1,10,20,2,1,D025,Lakhisarai
1,10,20,2,2,D025,Lakhisarai
2,10,20,9,1,D025,Lakhisarai
2,36,20,9,1,D025,Mahabubnagar
1,8,21,2,1,D025,Rajsamand
1,8,21,2,2,D025,Rajsamand
1,24,21,2,1,D025,Surat
1,24,21,2,2,D025,Surat
1,29,22,2,1,D025,Kalaburagi
1,29,22,2,2,D025,Kalaburagi
2,8,22,9,1,D025,Rajsamand
2,29,22,9,1,D025,Kalaburagi
2,29,22,9,2,D025,Kalaburagi
1,23,23,1,1,D025,Rajgarh
1,23,23,2,1,D025,Rajgarh
2,23,23,9,1,D025,Rajgarh
1,9,25,2,1,D025,Unnao
1,9,25,2,2,D025,Unnao
2,9,25,9,1,D025,Unnao
2,24,204,9,1,D025,Surat
2,24,204,9,2,D025,Surat
2,24,204,9,3,D025,Surat
2,24,204,9,4,D025,Surat
2,27,206,9,1,D025,Pune
2,27,206,9,2,D025,Pune
2,27,206,9,3,D025,Pune
2,27,206,9,4,D025,Pune
2,27,206,9,5,D025,Pune
2,27,206,9,6,D025,Pune
1,9,525,2,1,D025,Unnao
1,27,17,2,1,D026,Ahmednagar
1,27,17,2,2,D026,Ahmednagar
1,27,17,2,3,D026,Ahmednagar
2,27,17,9,1,D026,Ahmednagar
2,27,17,9,2,D026,Ahmednagar
1,21,20,1,1,D026,Kalahandi
1,21,20,2,1,D026,Kalahandi
1,33,20,2,1,D026,Thoothukudi
2,21,20,9,1,D026,Kalahandi
2,33,20,9,1,D026,Thoothukudi
1,28,21,2,1,D026,Ntr
2,28,21,9,1,D026,Ntr
1,18,23,2,1,D026,Darrang
1,18,23,2,2,D026,Darrang
2,18,23,9,1,D026,Darrang
1,23,24,1,1,D026,Vidisha
1,23,24,2,1,D026,Vidisha
2,23,24,9,1,D026,Vidisha
1,9,26,2,1,D026,Lucknow
2,28,202,9,1,D026,Ntr
2,9,204,9,1,D026,Lucknow
